run,offset_ns,error_ns
2023,-54.1184,0.00029062
2025,-54.1154,0.000306801
2027,-54.1301,0.000341806
2029,-54.134,0.000277203
2036,-54.1372,0.000342403
2038,-54.1323,0.000276674
2042,-54.1257,0.00031734
2048,-54.1345,0.000417358
2060,-54.1252,0.000445514
2062,-54.1278,0.000290723
2064,-54.125,0.000285331
2067,-54.1332,0.000751107
2068,-54.1271,0.000261635
2069,-54.1331,0.000152992
2071,-54.1302,0.0001502
2075,-54.1381,0.000402189
2076,-54.1335,0.00108102
2077,-54.0996,0.000365933
2079,-54.085,0.000370419
2081,-54.0918,0.000432915
2083,-54.0812,0.00067843
2085,-54.0707,0.00038743
2087,-54.0632,0.000484219
2089,-54.0649,0.000692948
2091,-54.2221,0.000277295
2098,-54.2334,0.000291477
2101,-54.2196,0.000297791
2103,-54.2135,0.000293337
2105,-54.1281,0.00035413
2107,-54.129,0.000405658
2110,-54.2143,0.000405273
2112,-54.2177,0.000462374
2114,-54.31,0.000594882
2115,-54.3125,0.000150214
2120,-54.313,0.00180272
2121,-54.3098,0.000227946
2122,-54.3111,0.000203123
2124,-54.3123,0.000149441
2125,-54.313,0.000149457
2127,-54.3117,0.000295172
2128,-54.3141,0.000539591
2132,-54.3063,0.00046615
2133,-54.3033,0.000257412
2138,-54.3061,0.000145362
2140,-54.3031,0.000146082
2142,-54.2953,0.000147786
2144,-54.2914,0.000148274
2147,-54.2906,0.000148177
2152,-54.2794,0.000357937
2156,-54.2731,0.00597519
2157,-54.2762,0.00567494
2158,-54.2725,0.000881604
2161,-54.2595,0.000888188
2163,-54.2538,0.00149311
2165,-54.2505,0.00143797
2167,-54.2674,0.00152381
2171,-54.2824,0.00102503
2172,-54.2718,0.000867563
2174,-54.2444,0.000373705
2175,-54.2431,0.000321358
2176,-54.2461,0.000165929
2177,-54.2489,0.000206307
2178,-54.2491,0.000389457
2179,-54.2452,0.000241166
2180,-54.2482,0.000248878
2181,-54.2491,0.000241371
2183,-54.2662,0.000969308
2185,-54.2595,0.00107403
2187,-54.2545,0.00112994
2189,-54.265,0.00152289
2191,-54.2634,0.000362083
2192,-54.2554,0.000363927
2195,-54.267,0.000377027
2214,-54.2079,0.000762393
2215,-54.1892,0.000417997
2216,-54.1971,0.000641376
2217,-54.2006,0.00111497
2219,-54.21,0.00282133
2222,-54.266,9.59547e-05
2223,-54.2624,0.000161427
2224,-54.2646,0.000189637
2225,-54.265,9.55959e-05
2226,-54.2597,9.13038e-05
2227,-54.2554,9.18427e-05
2230,-54.2521,9.20115e-05
2238,-54.2575,8.79031e-05
2239,-54.2504,8.87371e-05
2240,-54.265,9.84141e-05
2241,-54.2704,9.14569e-05
2242,-54.2627,9.0885e-05
2243,-54.2634,9.05673e-05
2245,-54.2554,9.13441e-05
2246,-54.2607,9.08483e-05
2248,-54.2624,0.000163778
2249,-54.2585,9.11293e-05
2251,-54.2602,0.000116651
2252,-54.2646,9.04081e-05
2254,-54.2401,0.000101821
2255,-54.2377,0.000102045
2257,-54.2329,0.000102525
2263,-54.2484,0.000100919
2265,-54.2508,0.00118197
2267,-54.2512,0.000119395
2268,-54.2499,0.000101068
2269,-54.2586,0.000107602
2270,-54.2599,0.000129037
2271,-54.2619,9.99978e-05
2274,-54.2793,8.73301e-05
2276,-54.2745,0.000101732
2277,-54.2754,0.000161819
2278,-54.2729,8.72849e-05
2279,-54.2686,0.000433482
2280,-54.2679,8.74642e-05
2282,-54.2437,0.000102463
2283,-54.2472,0.000102131
2284,-53.8955,0.000612741
2286,-53.9251,0.00080204
2288,-53.9406,0.00101771
2290,-53.931,0.000455174
2292,-53.9071,0.00047029
2293,-53.9053,0.000458712
2295,-53.9253,0.000444546
2297,-53.9552,0.00048503
2299,-53.9559,0.000426032
2300,-53.9534,0.000438791
2301,-53.9625,0.00135871
2304,-54.2705,0.000249437
2320,-54.3153,0.000197657
2323,-54.3187,0.000188977
2324,-54.3114,0.000173568
2338,-54.3193,0.000225191
2340,-54.3112,0.000162821
2342,-54.3067,0.000152981
2344,-54.289,0.000275875
2346,-54.3222,0.00038808
2347,-54.3232,0.000283605
2349,-54.2726,0.000138794
2351,-54.2583,0.00014936
2353,-54.2438,0.000559394
2366,-54.2476,0.000526788
2367,-54.2447,0.000297638
2368,-54.248,0.000150037
2370,-54.2415,0.000164125
2372,-54.0846,0.00134002
2373,-54.147,0.00116512
2374,-54.1544,0.00104066
2375,-54.1458,0.00155976
2376,-54.1446,0.000655757
2377,-54.147,0.000697073
2379,-54.1334,0.000518564
2380,-54.1513,0.000834044
2391,-54.1366,0.00063909
2392,-54.1405,0.000928775
2393,-54.1362,0.000636021
2394,-54.1211,0.000600989
2395,-54.1213,0.000738477
2396,-54.1288,0.00100442
2397,-54.1247,0.000750165
2400,-54.1433,0.000980603
2401,-54.092,0.00414853
2402,-54.117,0.00218373
2403,-54.1456,0.000617804
2404,-54.1337,0.00066036
2406,-54.1413,0.000693084
2407,-54.145,0.00102972
2408,-54.1424,0.000922924
2409,-54.1476,0.000975385
2410,-54.1467,0.00102143
2413,-54.1512,0.000697411
2421,-54.285,8.62976e-05
2422,-54.2648,0.00014764
2424,-54.2627,0.000105521
2425,-54.291,8.58685e-05
2426,-54.1347,0.000744372
2428,-54.1367,0.000803152
2431,-54.147,0.00118121
2432,-54.2315,0.00136049
2434,-54.1475,0.00121991
2435,-54.1207,0.000482906
2436,-54.1397,0.000491957
2438,-54.1744,0.000878111
2444,-54.2891,0.000332623
2446,-54.3281,0.000337312
2447,-54.3509,0.000537353
2448,-53.8517,0.000609997
2449,-53.6726,0.000435647
2450,-54.3033,0.000117023
2452,-54.2904,0.000120852
2453,-54.2879,0.000121137
2454,-54.3009,0.000135583
2457,-54.3106,0.000170833
2458,-54.3193,0.000127411
2459,-53.6785,0.000385506
2460,-53.8309,0.00122184
2461,-54.3639,0.000454706
2462,-54.3452,0.000410486
2463,-54.3172,0.000460008
2464,-53.7465,0.000298348
2465,-53.7792,0.000304194
2466,-53.8285,0.000304437
2467,-54.3158,0.000112407
2470,-54.3076,0.000114006
2471,-54.3083,0.000114146
2472,-54.3207,0.000113642
2474,-54.3306,0.00495984
2476,-54.3405,0.00635179
2477,-54.2976,0.0127511
2478,-54.3295,0.00982666
2479,-54.4122,0.0210851
2480,-54.3297,0.00331425
2481,-54.458,0.0264857
2484,-54.3488,0.00281288
2485,-54.3338,0.00162772
2488,-54.3232,0.00410499
2489,-54.3194,0.00261325
2491,-54.3087,0.000264185
