#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,8.30E-01
4.00E-02,4.77E-01
6.00E-02,3.47E-01
8.00E-02,2.78E-01
1.00E-01,2.35E-01
1.20E-01,2.06E-01
1.40E-01,1.84E-01
1.60E-01,1.68E-01
1.80E-01,1.55E-01
2.00E-01,1.45E-01
2.20E-01,1.37E-01
2.40E-01,1.30E-01
2.60E-01,1.24E-01
2.80E-01,1.18E-01
3.00E-01,1.14E-01
3.20E-01,1.10E-01
3.40E-01,1.07E-01
3.60E-01,1.03E-01
3.80E-01,1.01E-01
4.00E-01,9.82E-02
4.20E-01,9.60E-02
4.40E-01,9.40E-02
4.60E-01,9.22E-02
4.80E-01,9.05E-02
5.00E-01,8.90E-02
5.20E-01,8.75E-02
5.40E-01,8.62E-02
5.60E-01,8.50E-02
5.80E-01,8.39E-02
6.00E-01,8.29E-02
6.20E-01,8.20E-02
6.40E-01,8.11E-02
6.60E-01,8.02E-02
6.80E-01,7.95E-02
7.00E-01,7.87E-02
7.20E-01,7.81E-02
7.40E-01,7.74E-02
7.60E-01,7.68E-02
7.80E-01,7.63E-02
8.00E-01,7.58E-02
8.20E-01,7.53E-02
8.40E-01,7.48E-02
8.60E-01,7.44E-02
8.80E-01,7.39E-02
9.00E-01,7.36E-02
9.20E-01,7.32E-02
9.40E-01,7.28E-02
9.60E-01,7.25E-02
9.80E-01,7.22E-02
1.00E+00,7.19E-02
1.02E+00,7.16E-02
1.04E+00,7.13E-02
1.06E+00,7.11E-02
1.08E+00,7.08E-02
1.10E+00,7.06E-02
1.12E+00,7.04E-02
1.14E+00,7.02E-02
1.16E+00,7.00E-02
1.18E+00,6.98E-02
1.20E+00,6.96E-02
1.22E+00,6.95E-02
1.24E+00,6.93E-02
1.26E+00,6.92E-02
1.28E+00,6.90E-02
1.30E+00,6.89E-02
1.32E+00,6.87E-02
1.34E+00,6.86E-02
1.36E+00,6.85E-02
1.38E+00,6.84E-02
1.40E+00,6.83E-02
1.42E+00,6.82E-02
1.44E+00,6.81E-02
1.46E+00,6.80E-02
1.48E+00,6.79E-02
1.50E+00,6.78E-02
1.52E+00,6.77E-02
1.54E+00,6.77E-02
1.56E+00,6.76E-02
1.58E+00,6.75E-02
1.60E+00,6.75E-02
1.62E+00,6.74E-02
1.64E+00,6.73E-02
1.66E+00,6.73E-02
1.68E+00,6.72E-02
1.70E+00,6.72E-02
1.72E+00,6.71E-02
1.74E+00,6.71E-02
1.76E+00,6.71E-02
1.78E+00,6.70E-02
1.80E+00,6.70E-02
1.82E+00,6.70E-02
1.84E+00,6.69E-02
1.86E+00,6.69E-02
1.88E+00,6.69E-02
1.90E+00,6.68E-02
1.92E+00,6.68E-02
1.94E+00,6.68E-02
1.96E+00,6.68E-02
1.98E+00,6.68E-02
2.00E+00,6.67E-02
