#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,8.02E+00
4.00E-02,4.61E+00
6.00E-02,3.33E+00
8.00E-02,2.64E+00
1.00E-01,2.21E+00
1.20E-01,1.91E+00
1.40E-01,1.69E+00
1.60E-01,1.52E+00
1.80E-01,1.39E+00
2.00E-01,1.28E+00
2.20E-01,1.19E+00
2.40E-01,1.11E+00
2.60E-01,1.05E+00
2.80E-01,9.90E-01
3.00E-01,9.40E-01
3.20E-01,8.97E-01
3.40E-01,8.58E-01
3.60E-01,8.23E-01
3.80E-01,7.92E-01
4.00E-01,7.64E-01
4.20E-01,7.38E-01
4.40E-01,7.15E-01
4.60E-01,6.93E-01
4.80E-01,6.73E-01
5.00E-01,6.55E-01
5.20E-01,6.38E-01
5.40E-01,6.22E-01
5.60E-01,6.08E-01
5.80E-01,5.94E-01
6.00E-01,5.81E-01
6.20E-01,5.69E-01
6.40E-01,5.58E-01
6.60E-01,5.47E-01
6.80E-01,5.37E-01
7.00E-01,5.28E-01
7.20E-01,5.19E-01
7.40E-01,5.10E-01
7.60E-01,5.02E-01
7.80E-01,4.95E-01
8.00E-01,4.88E-01
8.20E-01,4.81E-01
8.40E-01,4.74E-01
8.60E-01,4.68E-01
8.80E-01,4.62E-01
9.00E-01,4.56E-01
9.20E-01,4.51E-01
9.40E-01,4.45E-01
9.60E-01,4.40E-01
9.80E-01,4.36E-01
1.00E+00,4.31E-01
1.02E+00,4.27E-01
1.04E+00,4.22E-01
1.06E+00,4.18E-01
1.08E+00,4.14E-01
1.10E+00,4.10E-01
1.12E+00,4.07E-01
1.14E+00,4.03E-01
1.16E+00,4.00E-01
1.18E+00,3.97E-01
1.20E+00,3.93E-01
1.22E+00,3.90E-01
1.24E+00,3.87E-01
1.26E+00,3.84E-01
1.28E+00,3.82E-01
1.30E+00,3.79E-01
1.32E+00,3.76E-01
1.34E+00,3.74E-01
1.36E+00,3.71E-01
1.38E+00,3.69E-01
1.40E+00,3.67E-01
1.42E+00,3.65E-01
1.44E+00,3.62E-01
1.46E+00,3.60E-01
1.48E+00,3.58E-01
1.50E+00,3.56E-01
1.52E+00,3.54E-01
1.54E+00,3.52E-01
1.56E+00,3.51E-01
1.58E+00,3.49E-01
1.60E+00,3.47E-01
1.62E+00,3.45E-01
1.64E+00,3.44E-01
1.66E+00,3.42E-01
1.68E+00,3.41E-01
1.70E+00,3.39E-01
1.72E+00,3.38E-01
1.74E+00,3.36E-01
1.76E+00,3.35E-01
1.78E+00,3.33E-01
1.80E+00,3.32E-01
1.82E+00,3.31E-01
1.84E+00,3.30E-01
1.86E+00,3.28E-01
1.88E+00,3.27E-01
1.90E+00,3.26E-01
1.92E+00,3.25E-01
1.94E+00,3.24E-01
1.96E+00,3.22E-01
1.98E+00,3.21E-01
2.00E+00,3.20E-01
