#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.53E-01
4.00E-02,1.94E-01
6.00E-02,2.34E-01
8.00E-02,2.74E-01
1.00E-01,3.14E-01
1.20E-01,3.55E-01
1.40E-01,3.95E-01
1.60E-01,4.36E-01
1.80E-01,4.77E-01
2.00E-01,5.18E-01
2.20E-01,5.58E-01
2.40E-01,5.99E-01
2.60E-01,6.40E-01
2.80E-01,6.81E-01
3.00E-01,7.22E-01
3.20E-01,7.63E-01
3.40E-01,8.04E-01
3.60E-01,8.45E-01
3.80E-01,8.86E-01
4.00E-01,9.27E-01
4.20E-01,9.68E-01
4.40E-01,1.01E+00
4.60E-01,1.05E+00
4.80E-01,1.09E+00
5.00E-01,1.13E+00
5.20E-01,1.17E+00
5.40E-01,1.21E+00
5.60E-01,1.26E+00
5.80E-01,1.30E+00
6.00E-01,1.34E+00
6.20E-01,1.38E+00
6.40E-01,1.42E+00
6.60E-01,1.46E+00
6.80E-01,1.50E+00
7.00E-01,1.54E+00
7.20E-01,1.58E+00
7.40E-01,1.63E+00
7.60E-01,1.67E+00
7.80E-01,1.71E+00
8.00E-01,1.75E+00
8.20E-01,1.79E+00
8.40E-01,1.83E+00
8.60E-01,1.87E+00
8.80E-01,1.91E+00
9.00E-01,1.95E+00
9.20E-01,2.00E+00
9.40E-01,2.04E+00
9.60E-01,2.08E+00
9.80E-01,2.12E+00
1.00E+00,2.16E+00
1.02E+00,2.20E+00
1.04E+00,2.24E+00
1.06E+00,2.29E+00
1.08E+00,2.33E+00
1.10E+00,2.37E+00
1.12E+00,2.41E+00
1.14E+00,2.45E+00
1.16E+00,2.50E+00
1.18E+00,2.54E+00
1.20E+00,2.58E+00
1.22E+00,2.62E+00
1.24E+00,2.66E+00
1.26E+00,2.70E+00
1.28E+00,2.75E+00
1.30E+00,2.79E+00
1.32E+00,2.83E+00
1.34E+00,2.87E+00
1.36E+00,2.91E+00
1.38E+00,2.96E+00
1.40E+00,3.00E+00
1.42E+00,3.04E+00
1.44E+00,3.08E+00
1.46E+00,3.12E+00
1.48E+00,3.17E+00
1.50E+00,3.21E+00
1.52E+00,3.25E+00
1.54E+00,3.29E+00
1.56E+00,3.33E+00
1.58E+00,3.38E+00
1.60E+00,3.42E+00
1.62E+00,3.46E+00
1.64E+00,3.50E+00
1.66E+00,3.54E+00
1.68E+00,3.58E+00
1.70E+00,3.63E+00
1.72E+00,3.67E+00
1.74E+00,3.71E+00
1.76E+00,3.75E+00
1.78E+00,3.79E+00
1.80E+00,3.84E+00
1.82E+00,3.88E+00
1.84E+00,3.92E+00
1.86E+00,3.96E+00
1.88E+00,4.00E+00
1.90E+00,4.05E+00
1.92E+00,4.09E+00
1.94E+00,4.13E+00
1.96E+00,4.17E+00
1.98E+00,4.21E+00
2.00E+00,4.26E+00
