#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,6.64E-02
4.00E-02,3.81E-02
6.00E-02,2.77E-02
8.00E-02,2.22E-02
1.00E-01,1.88E-02
1.20E-01,1.65E-02
1.40E-01,1.48E-02
1.60E-01,1.35E-02
1.80E-01,1.24E-02
2.00E-01,1.16E-02
2.20E-01,1.09E-02
2.40E-01,1.04E-02
2.60E-01,9.89E-03
2.80E-01,9.48E-03
3.00E-01,9.12E-03
3.20E-01,8.80E-03
3.40E-01,8.52E-03
3.60E-01,8.28E-03
3.80E-01,8.06E-03
4.00E-01,7.86E-03
4.20E-01,7.68E-03
4.40E-01,7.52E-03
4.60E-01,7.37E-03
4.80E-01,7.24E-03
5.00E-01,7.12E-03
5.20E-01,7.00E-03
5.40E-01,6.90E-03
5.60E-01,6.80E-03
5.80E-01,6.72E-03
6.00E-01,6.63E-03
6.20E-01,6.56E-03
6.40E-01,6.49E-03
6.60E-01,6.42E-03
6.80E-01,6.36E-03
7.00E-01,6.30E-03
7.20E-01,6.25E-03
7.40E-01,6.20E-03
7.60E-01,6.15E-03
7.80E-01,6.10E-03
8.00E-01,6.06E-03
8.20E-01,6.02E-03
8.40E-01,5.98E-03
8.60E-01,5.95E-03
8.80E-01,5.92E-03
9.00E-01,5.88E-03
9.20E-01,5.85E-03
9.40E-01,5.83E-03
9.60E-01,5.80E-03
9.80E-01,5.77E-03
1.00E+00,5.75E-03
1.02E+00,5.73E-03
1.04E+00,5.71E-03
1.06E+00,5.69E-03
1.08E+00,5.67E-03
1.10E+00,5.65E-03
1.12E+00,5.63E-03
1.14E+00,5.62E-03
1.16E+00,5.60E-03
1.18E+00,5.58E-03
1.20E+00,5.57E-03
1.22E+00,5.56E-03
1.24E+00,5.54E-03
1.26E+00,5.53E-03
1.28E+00,5.52E-03
1.30E+00,5.51E-03
1.32E+00,5.50E-03
1.34E+00,5.49E-03
1.36E+00,5.48E-03
1.38E+00,5.47E-03
1.40E+00,5.46E-03
1.42E+00,5.45E-03
1.44E+00,5.45E-03
1.46E+00,5.44E-03
1.48E+00,5.43E-03
1.50E+00,5.43E-03
1.52E+00,5.42E-03
1.54E+00,5.41E-03
1.56E+00,5.41E-03
1.58E+00,5.40E-03
1.60E+00,5.40E-03
1.62E+00,5.39E-03
1.64E+00,5.39E-03
1.66E+00,5.38E-03
1.68E+00,5.38E-03
1.70E+00,5.38E-03
1.72E+00,5.37E-03
1.74E+00,5.37E-03
1.76E+00,5.37E-03
1.78E+00,5.36E-03
1.80E+00,5.36E-03
1.82E+00,5.36E-03
1.84E+00,5.35E-03
1.86E+00,5.35E-03
1.88E+00,5.35E-03
1.90E+00,5.35E-03
1.92E+00,5.35E-03
1.94E+00,5.34E-03
1.96E+00,5.34E-03
1.98E+00,5.34E-03
2.00E+00,5.34E-03
