#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.14E+00
4.00E-02,1.23E+00
6.00E-02,8.88E-01
8.00E-02,7.04E-01
1.00E-01,5.89E-01
1.20E-01,5.09E-01
1.40E-01,4.50E-01
1.60E-01,4.05E-01
1.80E-01,3.70E-01
2.00E-01,3.41E-01
2.20E-01,3.17E-01
2.40E-01,2.96E-01
2.60E-01,2.79E-01
2.80E-01,2.64E-01
3.00E-01,2.51E-01
3.20E-01,2.39E-01
3.40E-01,2.29E-01
3.60E-01,2.20E-01
3.80E-01,2.11E-01
4.00E-01,2.04E-01
4.20E-01,1.97E-01
4.40E-01,1.91E-01
4.60E-01,1.85E-01
4.80E-01,1.80E-01
5.00E-01,1.75E-01
5.20E-01,1.70E-01
5.40E-01,1.66E-01
5.60E-01,1.62E-01
5.80E-01,1.58E-01
6.00E-01,1.55E-01
6.20E-01,1.52E-01
6.40E-01,1.49E-01
6.60E-01,1.46E-01
6.80E-01,1.43E-01
7.00E-01,1.41E-01
7.20E-01,1.38E-01
7.40E-01,1.36E-01
7.60E-01,1.34E-01
7.80E-01,1.32E-01
8.00E-01,1.30E-01
8.20E-01,1.28E-01
8.40E-01,1.26E-01
8.60E-01,1.25E-01
8.80E-01,1.23E-01
9.00E-01,1.22E-01
9.20E-01,1.20E-01
9.40E-01,1.19E-01
9.60E-01,1.17E-01
9.80E-01,1.16E-01
1.00E+00,1.15E-01
1.02E+00,1.14E-01
1.04E+00,1.13E-01
1.06E+00,1.12E-01
1.08E+00,1.10E-01
1.10E+00,1.09E-01
1.12E+00,1.08E-01
1.14E+00,1.08E-01
1.16E+00,1.07E-01
1.18E+00,1.06E-01
1.20E+00,1.05E-01
1.22E+00,1.04E-01
1.24E+00,1.03E-01
1.26E+00,1.03E-01
1.28E+00,1.02E-01
1.30E+00,1.01E-01
1.32E+00,1.00E-01
1.34E+00,9.97E-02
1.36E+00,9.90E-02
1.38E+00,9.84E-02
1.40E+00,9.78E-02
1.42E+00,9.72E-02
1.44E+00,9.66E-02
1.46E+00,9.61E-02
1.48E+00,9.55E-02
1.50E+00,9.50E-02
1.52E+00,9.45E-02
1.54E+00,9.40E-02
1.56E+00,9.35E-02
1.58E+00,9.30E-02
1.60E+00,9.26E-02
1.62E+00,9.21E-02
1.64E+00,9.17E-02
1.66E+00,9.12E-02
1.68E+00,9.08E-02
1.70E+00,9.04E-02
1.72E+00,9.00E-02
1.74E+00,8.97E-02
1.76E+00,8.93E-02
1.78E+00,8.89E-02
1.80E+00,8.86E-02
1.82E+00,8.82E-02
1.84E+00,8.79E-02
1.86E+00,8.75E-02
1.88E+00,8.72E-02
1.90E+00,8.69E-02
1.92E+00,8.66E-02
1.94E+00,8.63E-02
1.96E+00,8.60E-02
1.98E+00,8.57E-02
2.00E+00,8.54E-02
