#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.30E-01
4.00E-02,1.64E-01
6.00E-02,1.98E-01
8.00E-02,2.32E-01
1.00E-01,2.66E-01
1.20E-01,3.01E-01
1.40E-01,3.35E-01
1.60E-01,3.70E-01
1.80E-01,4.04E-01
2.00E-01,4.39E-01
2.20E-01,4.73E-01
2.40E-01,5.08E-01
2.60E-01,5.42E-01
2.80E-01,5.77E-01
3.00E-01,6.12E-01
3.20E-01,6.46E-01
3.40E-01,6.81E-01
3.60E-01,7.15E-01
3.80E-01,7.50E-01
4.00E-01,7.85E-01
4.20E-01,8.20E-01
4.40E-01,8.54E-01
4.60E-01,8.89E-01
4.80E-01,9.24E-01
5.00E-01,9.59E-01
5.20E-01,9.93E-01
5.40E-01,1.03E+00
5.60E-01,1.06E+00
5.80E-01,1.10E+00
6.00E-01,1.13E+00
6.20E-01,1.17E+00
6.40E-01,1.20E+00
6.60E-01,1.24E+00
6.80E-01,1.27E+00
7.00E-01,1.31E+00
7.20E-01,1.34E+00
7.40E-01,1.38E+00
7.60E-01,1.41E+00
7.80E-01,1.45E+00
8.00E-01,1.48E+00
8.20E-01,1.52E+00
8.40E-01,1.55E+00
8.60E-01,1.59E+00
8.80E-01,1.62E+00
9.00E-01,1.65E+00
9.20E-01,1.69E+00
9.40E-01,1.72E+00
9.60E-01,1.76E+00
9.80E-01,1.79E+00
1.00E+00,1.83E+00
1.02E+00,1.86E+00
1.04E+00,1.90E+00
1.06E+00,1.94E+00
1.08E+00,1.97E+00
1.10E+00,2.01E+00
1.12E+00,2.04E+00
1.14E+00,2.08E+00
1.16E+00,2.11E+00
1.18E+00,2.15E+00
1.20E+00,2.18E+00
1.22E+00,2.22E+00
1.24E+00,2.25E+00
1.26E+00,2.29E+00
1.28E+00,2.32E+00
1.30E+00,2.36E+00
1.32E+00,2.40E+00
1.34E+00,2.43E+00
1.36E+00,2.47E+00
1.38E+00,2.50E+00
1.40E+00,2.54E+00
1.42E+00,2.57E+00
1.44E+00,2.61E+00
1.46E+00,2.64E+00
1.48E+00,2.68E+00
1.50E+00,2.71E+00
1.52E+00,2.75E+00
1.54E+00,2.79E+00
1.56E+00,2.82E+00
1.58E+00,2.86E+00
1.60E+00,2.89E+00
1.62E+00,2.93E+00
1.64E+00,2.96E+00
1.66E+00,3.00E+00
1.68E+00,3.03E+00
1.70E+00,3.07E+00
1.72E+00,3.10E+00
1.74E+00,3.14E+00
1.76E+00,3.18E+00
1.78E+00,3.21E+00
1.80E+00,3.25E+00
1.82E+00,3.28E+00
1.84E+00,3.32E+00
1.86E+00,3.35E+00
1.88E+00,3.39E+00
1.90E+00,3.42E+00
1.92E+00,3.46E+00
1.94E+00,3.50E+00
1.96E+00,3.53E+00
1.98E+00,3.57E+00
2.00E+00,3.60E+00
