#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,5.72E-02
4.00E-02,7.18E-02
6.00E-02,8.63E-02
8.00E-02,1.01E-01
1.00E-01,1.15E-01
1.20E-01,1.30E-01
1.40E-01,1.45E-01
1.60E-01,1.59E-01
1.80E-01,1.74E-01
2.00E-01,1.89E-01
2.20E-01,2.04E-01
2.40E-01,2.18E-01
2.60E-01,2.33E-01
2.80E-01,2.48E-01
3.00E-01,2.63E-01
3.20E-01,2.78E-01
3.40E-01,2.92E-01
3.60E-01,3.07E-01
3.80E-01,3.22E-01
4.00E-01,3.37E-01
4.20E-01,3.52E-01
4.40E-01,3.67E-01
4.60E-01,3.81E-01
4.80E-01,3.96E-01
5.00E-01,4.11E-01
5.20E-01,4.26E-01
5.40E-01,4.41E-01
5.60E-01,4.56E-01
5.80E-01,4.70E-01
6.00E-01,4.85E-01
6.20E-01,5.00E-01
6.40E-01,5.15E-01
6.60E-01,5.30E-01
6.80E-01,5.45E-01
7.00E-01,5.60E-01
7.20E-01,5.75E-01
7.40E-01,5.89E-01
7.60E-01,6.04E-01
7.80E-01,6.19E-01
8.00E-01,6.34E-01
8.20E-01,6.49E-01
8.40E-01,6.64E-01
8.60E-01,6.79E-01
8.80E-01,6.94E-01
9.00E-01,7.09E-01
9.20E-01,7.23E-01
9.40E-01,7.38E-01
9.60E-01,7.53E-01
9.80E-01,7.68E-01
1.00E+00,7.83E-01
1.02E+00,7.98E-01
1.04E+00,8.13E-01
1.06E+00,8.28E-01
1.08E+00,8.44E-01
1.10E+00,8.59E-01
1.12E+00,8.74E-01
1.14E+00,8.89E-01
1.16E+00,9.04E-01
1.18E+00,9.19E-01
1.20E+00,9.34E-01
1.22E+00,9.49E-01
1.24E+00,9.65E-01
1.26E+00,9.80E-01
1.28E+00,9.95E-01
1.30E+00,1.01E+00
1.32E+00,1.03E+00
1.34E+00,1.04E+00
1.36E+00,1.06E+00
1.38E+00,1.07E+00
1.40E+00,1.09E+00
1.42E+00,1.10E+00
1.44E+00,1.12E+00
1.46E+00,1.13E+00
1.48E+00,1.15E+00
1.50E+00,1.16E+00
1.52E+00,1.18E+00
1.54E+00,1.19E+00
1.56E+00,1.21E+00
1.58E+00,1.22E+00
1.60E+00,1.24E+00
1.62E+00,1.25E+00
1.64E+00,1.27E+00
1.66E+00,1.28E+00
1.68E+00,1.30E+00
1.70E+00,1.31E+00
1.72E+00,1.33E+00
1.74E+00,1.34E+00
1.76E+00,1.36E+00
1.78E+00,1.37E+00
1.80E+00,1.39E+00
1.82E+00,1.40E+00
1.84E+00,1.42E+00
1.86E+00,1.43E+00
1.88E+00,1.45E+00
1.90E+00,1.46E+00
1.92E+00,1.48E+00
1.94E+00,1.49E+00
1.96E+00,1.51E+00
1.98E+00,1.53E+00
2.00E+00,1.54E+00
