#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.39E+01
4.00E-02,8.00E+00
6.00E-02,5.77E+00
8.00E-02,4.58E+00
1.00E-01,3.83E+00
1.20E-01,3.31E+00
1.40E-01,2.93E+00
1.60E-01,2.64E+00
1.80E-01,2.40E+00
2.00E-01,2.21E+00
2.20E-01,2.06E+00
2.40E-01,1.93E+00
2.60E-01,1.81E+00
2.80E-01,1.72E+00
3.00E-01,1.63E+00
3.20E-01,1.55E+00
3.40E-01,1.49E+00
3.60E-01,1.43E+00
3.80E-01,1.37E+00
4.00E-01,1.32E+00
4.20E-01,1.28E+00
4.40E-01,1.24E+00
4.60E-01,1.20E+00
4.80E-01,1.17E+00
5.00E-01,1.14E+00
5.20E-01,1.11E+00
5.40E-01,1.08E+00
5.60E-01,1.05E+00
5.80E-01,1.03E+00
6.00E-01,1.01E+00
6.20E-01,9.87E-01
6.40E-01,9.67E-01
6.60E-01,9.49E-01
6.80E-01,9.31E-01
7.00E-01,9.15E-01
7.20E-01,9.00E-01
7.40E-01,8.85E-01
7.60E-01,8.71E-01
7.80E-01,8.58E-01
8.00E-01,8.45E-01
8.20E-01,8.33E-01
8.40E-01,8.22E-01
8.60E-01,8.11E-01
8.80E-01,8.01E-01
9.00E-01,7.91E-01
9.20E-01,7.81E-01
9.40E-01,7.72E-01
9.60E-01,7.63E-01
9.80E-01,7.55E-01
1.00E+00,7.47E-01
1.02E+00,7.39E-01
1.04E+00,7.32E-01
1.06E+00,7.25E-01
1.08E+00,7.18E-01
1.10E+00,7.11E-01
1.12E+00,7.05E-01
1.14E+00,6.99E-01
1.16E+00,6.93E-01
1.18E+00,6.87E-01
1.20E+00,6.82E-01
1.22E+00,6.77E-01
1.24E+00,6.71E-01
1.26E+00,6.66E-01
1.28E+00,6.62E-01
1.30E+00,6.57E-01
1.32E+00,6.52E-01
1.34E+00,6.48E-01
1.36E+00,6.44E-01
1.38E+00,6.40E-01
1.40E+00,6.36E-01
1.42E+00,6.32E-01
1.44E+00,6.28E-01
1.46E+00,6.24E-01
1.48E+00,6.21E-01
1.50E+00,6.17E-01
1.52E+00,6.14E-01
1.54E+00,6.11E-01
1.56E+00,6.08E-01
1.58E+00,6.05E-01
1.60E+00,6.02E-01
1.62E+00,5.99E-01
1.64E+00,5.96E-01
1.66E+00,5.93E-01
1.68E+00,5.90E-01
1.70E+00,5.88E-01
1.72E+00,5.85E-01
1.74E+00,5.83E-01
1.76E+00,5.80E-01
1.78E+00,5.78E-01
1.80E+00,5.76E-01
1.82E+00,5.73E-01
1.84E+00,5.71E-01
1.86E+00,5.69E-01
1.88E+00,5.67E-01
1.90E+00,5.65E-01
1.92E+00,5.63E-01
1.94E+00,5.61E-01
1.96E+00,5.59E-01
1.98E+00,5.57E-01
2.00E+00,5.55E-01
