#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.18E+01
4.00E-02,6.77E+00
6.00E-02,4.88E+00
8.00E-02,3.87E+00
1.00E-01,3.24E+00
1.20E-01,2.80E+00
1.40E-01,2.48E+00
1.60E-01,2.23E+00
1.80E-01,2.03E+00
2.00E-01,1.87E+00
2.20E-01,1.74E+00
2.40E-01,1.63E+00
2.60E-01,1.53E+00
2.80E-01,1.45E+00
3.00E-01,1.38E+00
3.20E-01,1.32E+00
3.40E-01,1.26E+00
3.60E-01,1.21E+00
3.80E-01,1.16E+00
4.00E-01,1.12E+00
4.20E-01,1.08E+00
4.40E-01,1.05E+00
4.60E-01,1.02E+00
4.80E-01,9.88E-01
5.00E-01,9.61E-01
5.20E-01,9.36E-01
5.40E-01,9.13E-01
5.60E-01,8.91E-01
5.80E-01,8.71E-01
6.00E-01,8.52E-01
6.20E-01,8.35E-01
6.40E-01,8.18E-01
6.60E-01,8.03E-01
6.80E-01,7.88E-01
7.00E-01,7.74E-01
7.20E-01,7.61E-01
7.40E-01,7.49E-01
7.60E-01,7.37E-01
7.80E-01,7.26E-01
8.00E-01,7.15E-01
8.20E-01,7.05E-01
8.40E-01,6.95E-01
8.60E-01,6.86E-01
8.80E-01,6.77E-01
9.00E-01,6.69E-01
9.20E-01,6.61E-01
9.40E-01,6.53E-01
9.60E-01,6.46E-01
9.80E-01,6.39E-01
1.00E+00,6.32E-01
1.02E+00,6.26E-01
1.04E+00,6.19E-01
1.06E+00,6.13E-01
1.08E+00,6.08E-01
1.10E+00,6.02E-01
1.12E+00,5.97E-01
1.14E+00,5.91E-01
1.16E+00,5.86E-01
1.18E+00,5.82E-01
1.20E+00,5.77E-01
1.22E+00,5.72E-01
1.24E+00,5.68E-01
1.26E+00,5.64E-01
1.28E+00,5.60E-01
1.30E+00,5.56E-01
1.32E+00,5.52E-01
1.34E+00,5.48E-01
1.36E+00,5.45E-01
1.38E+00,5.41E-01
1.40E+00,5.38E-01
1.42E+00,5.35E-01
1.44E+00,5.31E-01
1.46E+00,5.28E-01
1.48E+00,5.25E-01
1.50E+00,5.22E-01
1.52E+00,5.20E-01
1.54E+00,5.17E-01
1.56E+00,5.14E-01
1.58E+00,5.12E-01
1.60E+00,5.09E-01
1.62E+00,5.07E-01
1.64E+00,5.04E-01
1.66E+00,5.02E-01
1.68E+00,5.00E-01
1.70E+00,4.97E-01
1.72E+00,4.95E-01
1.74E+00,4.93E-01
1.76E+00,4.91E-01
1.78E+00,4.89E-01
1.80E+00,4.87E-01
1.82E+00,4.85E-01
1.84E+00,4.83E-01
1.86E+00,4.81E-01
1.88E+00,4.80E-01
1.90E+00,4.78E-01
1.92E+00,4.76E-01
1.94E+00,4.75E-01
1.96E+00,4.73E-01
1.98E+00,4.71E-01
2.00E+00,4.70E-01
